source,page,type,text
Katsogiannis-Meimarakis and Koutrika - 2023 - A survey on deep learning approaches for text-to-S.pdf,43,caption,Figure 4 shows an overview of a neural text-to-SQL sys-
Katsogiannis-Meimarakis and Koutrika - 2023 - A survey on deep learning approaches for text-to-S.pdf,8,page,"912 G. Katsogiannis-Meimarakis, G. Koutrika Fig. 4 Overview of a neural text-to-SQL system, based on the proposed taxonomy More formally, schema linking is the process of discover- ing which parts of the NLQ refer to which database elements. The NLQ parts that could possibly refer to a database element are called query candidates , while the database elements that could occur in the NLQ are called database candi- dates. Query candidates can be words or phrases, while database candidates can be tables, columns, and values in the database. A connection between a query candidate and a database candidate is called a schema link, which can be fur- ther categorised as a table link or column link, when the query candidate maps to a table name or column name, respectively, and value link , when it matches a value of a column. Schema linking is very challenging for a variety of rea- sons. Query and database candidates may not use the same vocabulary nor appear in the exact same phrasing. For exam- ple, the phrase “sang by” in the NLQ might refer to the database column “singer” (same word stem, phrased differ- ently) or “artist” (vocabulary mismatch). This problem is even more challenging when the NLQ expresses a condition (i.e. a reference to a DB value) in a different way than how the value is stored in the DB. This is an issue because in contrast to the table and column names of the DB, the sheer volume of data stored in a DB prohibits using all DB val- ues as inputs to the system, making it very challenging for the system to build the correct SQL condition. For exam- ple, the word “female” might imply a condition such as “gender=F” . In this case, besides a schema link between “female” and the column “gender” , the system must also be given the value as it is stored in the DB ( “F” )a sp a r to ft h e input, in order to use it when constructing the SQL predic- tion. Otherwise, it will most likely produce a condition like “gender=female” , which would return no rows. Due to the volume of a DB, ﬁnding value links is not only hard but can be very computation-expensive. The schema linking process has two parts. Candidate dis- covery is the process of extracting query candidates from the NLQ and database candidates from the underlying database. Candidate matching is the process of comparing a set of query candidates and a set of database candidates and estab- lishing the links. Schema linking enhances the input, and a system can operate without it. Hence, performing no schema linking is possible too. In fact, while most recent systems incorporate some form of schema linking in their workﬂow, earlier ones (e.g. Seq2SQL [ 112], SQLNet [ 96]) and even some recent ones (e.g. HydraNet [62], T5+PICARD [76], SeaD [97]) sim- ply rely on their neural components to make predictions. 4.1.1 Query candidate discovery We ﬁrst walk through the techniques used for discovering query candidates. Single tokens A simple approach for ﬁnding query candi- dates is to consider all the single words of the NLQ as query candidates. This is obviously prone to errors as it is likely that a query candidate spans over multiple tokens (e.g. “New York”, “Iggy Pop and the Stooges” ). Multi-word candidates To ﬁnd all possible query can- didates, even multi-word ones, it is necessary to consider n-grams of varying length. For example, IRNet [ 33]u s e sa l l n-grams of length from 1 to 6 in the user question as query candidates. It processes them in descending order of length and if a n-gram is marked as a schema link, the system dis- cards all the smaller n-grams that are contained in it, to avoid generating duplicate links. Furthermore, IRNet [ 33] assumes that any phrase (n-gram) appearing inside quotes must be a reference to a value stored inside the database. Note that in this case, the system not only discovers a query candidate, but also asserts that the database candidate that will be linked to it must be a value. Named entities V alueNet [10] adds an extra step for intel- ligent candidate discovery, by performing Named Entity Recognition (NER) on the user’s NLQ to discover possible query candidates. This technique is very effective in discov- ering candidates that refer to a widely known entity such as a place or a person but might not generalise to entities that are speciﬁc to a certain domain. V alueNet asserts that candidates discovered through NER refer to a DB value, i.e. the DB can- didate they will be matched to, must be a value. TypeSQL 123"
Katsogiannis-Meimarakis and Koutrika - 2023 - A survey on deep learning approaches for text-to-S.pdf,2,caption,"Fig. 4 Overview of a neural text-to-SQL system, based on the proposed"
Katsogiannis-Meimarakis and Koutrika - 2023 - A survey on deep learning approaches for text-to-S.pdf,9,page,"A survey on deep learning approaches for text-to-SQL 913 [103] uses the Freebase 4 Knowledge Graph to perform NER. It searches for ﬁve types of entities, namely: Person, Place, Country, Organization and Sport . However, the query candi- dates that are found to be Named Entities are not matched to a DB candidate, but simply marked with the entity type that describes them. Additional candidates As mentioned earlier, creating cor- rect conditions can be even more challenging when the value is not expressed in the NLQ exactly as it is stored in the DB. V alueNet [10] proposes an improved pipeline for generat- ing additional candidates for value links that consists of: ( a) identifying possible query candidates using NER, ( b) gener- ating additional candidates by looking up similar values in the database and by using string manipulation, and ( c) vali- dating all the generated candidates by conﬁrming they appear in the database. The validated candidates are then given to the system, to aid it in generating correct conditions. Let us consider the following example, where the NLQ contains the phrase “New York” , but the DB contains the value “NY” . V alueNet would recognise “New York” as a named entity, it would generate additional similar candidates (e.g. “N. York” , “N.Y.” and “NY” ) and it would look them up in the DB. Doing so, it would discover that only “NY” appears in the DB, and would only add this value in the input to help the system create a correct condition (e.g. “state=NY” ). 4.1.2 Database candidate discovery Table and column names The ﬁrst and most obvious source for database candidates are the names of the tables and columns of the database. Given that most databases contain a relatively small number of tables and columns, all of them can be database candidates. V alues via lookup V alues stored in the database comprise another large pool for database candidates. However, due to the volume of data, iterating over all the DB values is not performance-wise. Indexes have been widely used in ear- lier text-to-SQL systems, which do not rely on deep learning [36,53], to accelerate the search. V alueNet [ 10]a l s ou s e s indexes and computationally cheap methods for retrieving values from the DB. It is necessary to note that a database lookup requires the use of an already discovered query can- didate. In order to avoid greedily looking up all the query candidates, the system might only look up certain query can- didates that seem more likely to refer to a value (e.g. because they are found inside quotes or based on heuristics). V alues via knowledge graphs IRNet [ 33] assumes that access to the database contents is not possible and employs the knowledge graph ConceptNet [ 82] for recognising value links. As a ﬁrst step, IRNet considers that all n-grams begin- ning and ending with single quotes are query candidates 4 https://developers.google.com/freebase. referring to values. In order to discover the DB column or table that could contain a value such as the discovered query candidate, the system searches each candidate in the knowl- edge graph and only keeps two types of results: is-type-of and related-terms. For example, when searching for “New York” in ConceptNet, one of the returned results is is-type-of “state” . This result helps IRNet link “New York” to a column named “state” or similarly. Note that this approach stands out from what has been discussed so far, in the way that a value link is discovered using an intermediate candidate (knowledge graph result) and the column names. 4.1.3 Candidate matching Having discovered the query and database candidates, an efﬁcient method is needed for comparing them to identify possible links. As discussed earlier, candidates are not always expressed in the same way in both sides, so identifying links is not straightforward. Techniques that can recognise semantic similarities between candidates are required. Exact and partial matching The simplest approach is to look for exact and partial matches, as it is done by IRNet [33]. An exact match requires that the candidates are iden- tical, while a partial match occurs when one candidate is a substring of the other. Admittedly, this approach is bare- bone and while it can discover more obvious links, it can also result in false positive matches when candidates share the same words (e.g. “residence” would be considered a par- tial match with “former residence” ). Fuzzy/approximate string matching Another useful tech- nique for identifying matches when the link in the candidates are written differently is approximate string matching. An example of such an approach is the Damerau–Levenshtein distance [ 16], used by V alueNet [ 10]. While such tech- niques aid at identifying matches with different spelling or spelling mistakes (e.g. “color” -“colour” ), they cannot han- dle synonyms and thus are not robust to the use of different vocabulary. Learned embeddings To calculate the similarity between words of the NLQ and schema entities, an earlier work in the area of semantic parsing [ 49] proposes the use of learned word embeddings. The system learns word embeddings using the words of the text-to-SQL training corpus and combines them with additional features that are calculated using NER, edit distance and indicators for exact token and lemma match. These embeddings are then used to calculate the similarity of query candidates to DB candidates. While this approach is more expensive than previous matching techniques, it allows for much more ﬂexible and intelligent matching. This approach was also adopted by text-to-SQL systems [ 8,9]a s well. 123"
Katsogiannis-Meimarakis and Koutrika - 2023 - A survey on deep learning approaches for text-to-S.pdf,10,page,"914 G. Katsogiannis-Meimarakis, G. Koutrika Classiﬁers Given the complexity of schema linking, it may be possible to achieve better results by training a model to perform schema linking. A Conditional Random Field (CRF) model [ 50] can be trained on a small group of hand-labelled samples to recog- nise column links, table links and value links for numerical and textual values [ 11]. The predictions of this model can then be passed to the main neural network of the text-to- SQL system along with the rest of the inputs. DBTagger [ 86] uses a similar approach to solve the schema linking problem as a sequence tagging problem. It employs CRFs on every token of the NLQ to identify: ( a) its Part of Speech (POS), ( b) schema link type (e.g. table link, value link, etc.), and ( c)t h e speciﬁc schema element that it refers to. The authors argue that learning these three tasks in a multi-learning paradigm helps the system achieve better performance than it would if it only learned to identify the schema element each token refers to. The SDSQL [ 38] system is simultaneously trained on two tasks: ( a) the text-to-SQL task, similarly to all sys- tems, and ( b)t h e Schema Dependency Learning task. For this additional learning task, the system is essentially trained to discover schema links in the form of dependencies between the words of the NLQ and the parts of the SQL query. Namely, the possible dependencies are: select-column (S- Col), select-aggregation (S-Agg), where-column (W-Col), where-operator (W-Op) and where-value (W-V al). For exam- ple, a select-column (S-Col) label is assigned to the depen- dency between the column appearing in the SELECT clause and the word of the NLQ that refers to it. A deep biafﬁne network [ 23,25] is trained along the rest of the system to detect the existence and type of these dependencies. Train- ing data for this task is created from the already available NL and SQL pairs, by assigning dependency labels between the NLQ tokens and table columns. Although the schema links discovered by the system are not directly used for predict- ing the SQL query, training for both tasks simultaneously has a positive effect on the system performance. This task goes beyond the schema linking task, as some of the afore- mentioned dependencies include query candidates that might refer to query parts (e.g. aggregation functions and condition operations). It should also be noted that this approach has been applied to WikiSQL, but it has not yet been extended to the more challenging Spider dataset. Neural attention While attention layers do not directly determine a match, we mention them brieﬂy because of their capability to highlight connections between query and DB candidates, which can improve the system’s internal repre- sentation and boost its performance. SQLNet [ 96]w a st h e ﬁrst system to introduce such a mechanism, named Col- umn Attention , that processes the NLQ and column names and ﬁnds relevant columns for each word of the NLQ. The Transformer [ 87] neural architecture, which is based on an attention mechanism, has been instrumental to the widespread use of PLMs that have become the go-to solu- tion for input encoding, greatly beneﬁting the accuracy of text-to-SQL systems. Finally, RA T-SQL [ 89] proposed a modiﬁed Transformer layer, called Relation-Aware Trans- former (RA T), that biases the attention mechanism of the Transformer towards already-known relations from the DB schema and discovered schema links. 4.2 Natural language representation An essential step for text-to-SQL systems is creating and pro- cessing numerical representations of their NL inputs. Until recently, the most popular technique for NL representation has been pre-trained word embeddings. Recent advances in NLP , such as the introduction of the Transformer architecture [87] followed by its use to create large Pre-trained Language Models (PLMs), has tipped the scales greatly to its favour. Additionally, as new PLMs are emerging, a new research path is being paved focusing on the design of better PLMs or PLMs created speciﬁcally for certain problems (such as the text-to-SQL problem). 4.2.1 Word embeddings Word embeddings aim at mapping each word to a unique numerical vector. While there are simplistic approaches for creating such vectors (e.g. one-hot embeddings), more advanced algorithms [ 65,68] aim at making the value of each vector meaningful. These vectors are usually trained from a large text corpus (e.g. Wikipedia or Twitter) using a self-supervised algorithm that is mainly based on word co- occurrences. The set of pre-trained vectors can then be used to build a model that beneﬁts from the inherent knowledge that is present in the vectors due to their training. For example, the GloV e [ 68] embeddings, which capture interesting word relationships, were frequently used by the ﬁrst text-to-SQL systems. Such word relationships include words with similar meaning being near neighbours and lin- ear substructures that indicate similar relationships between words (e.g. the distances between the word pairs Paris-France and Athens-Greece will be similar because these words share a capital-country relation). A pre-trained set of GloV e embed- dings can be used to create numerical representations for NL inputs of a model, which can then be encoded using a RNN (such as a LSTM). 4.2.2 Pre-trained language models The introduction of the Transformer architecture [ 87] and its use in PLMs such as BERT [19] has led to a great performance boost in many NLP problems. The text-to-SQL problem is no exception, as the use of PLMs has quickly become the go-to 123"
Katsogiannis-Meimarakis and Koutrika - 2023 - A survey on deep learning approaches for text-to-S.pdf,11,page,"A survey on deep learning approaches for text-to-SQL 915 solution for NL representation. In order to understand how a PLM can be used in a text-to-SQL system, it is ﬁrst necessary to highlight the difference between two main categories of PLMs: ( a) encoder-only and ( b) encoder–decoder models. Encoder-only models, like BERT [ 19], RoBERTa [ 59], and TaBERT [ 101], take a sequential input and produce a contextualised numerical representation for each input token. The term “contextualized” marks a notable difference to word embedding techniques, which map each word to a ﬁxed vec- tor, while the representations given by PLMs are computed taking all tokens of the input into account. This representa- tion can then be used by additional neural layers to make a prediction for the downstream task at hand. While GloV e representations can be seen as improved word embeddings and can be used in similar fashion (e.g. using an LSTM), this is not necessary. In fact, due to the robustness of PLMs, it is possible to process their outputs using very simple and small neural networks and still achieve better results than complex networks using word embeddings. Encoder–decoder models, like T5 [ 74] and BART [ 52], are full end-to-end models that take a sequential text input and return a sequential text output (seq-to-seq). These models produce the ﬁnal output on their own, without the need for any extra neural layers, and can be used on any downstream task as long as the expected output can be modelled as a text sequence. Furthermore, as such models are gaining more atten- tion, the creation of task-speciﬁc PLMs is becoming a new research area of its own. Such models can be customised to work with different types of inputs and perform better on less generic tasks, such as the text-to-SQL task. There are multiple PLMs, such as GraPPa [ 104] and TaBERT [ 101], that have been designed to work with structured and tabular data as well as to better generalise in tasks that use SQL, and they can improve the performance of a text-to-SQL system when used in place of a generic PLM. It must also be noted that while most text-to-SQL systems are originally proposed with BERT [19] or another general-purpose PLM, they often manage to achieve higher scores by replacing it with a PLM, such as TaBERT [ 101], that was speciﬁcally pre-trained for a task that uses structured data, like the text-to-SQL task. 4.3 Input encoding The dimension of input encoding examines how the input is structured and fed to the neural encoder of the system, so that it can be processed effectively. There are different inputs that are useful for translating a NLQ to SQL. The NLQ and the names of the DB columns and tables could be consid- ered the minimum required input. Other features that could improve the network performance include: ( a) the relation- ships present in the DB schema, including primary-to-foreign key relationships and relationships between columns and tables, and ( b) links and additional values that have been discovered during the schema linking process. The use of neural networks mandates the transformation of all inputs into a form that can be accepted by the network. This can be very restrictive, given how heterogeneous these types of inputs are and how difﬁcult it is to represent them all in a single type of input. In this section, we examine the most representative choices for input encoding, while also tak- ing into account the additional features that each choice can incorporate. We distinguish four encoding schemes: ( a) sep- arate NLQ and column encodings ( b) input serialisation ( c) encoding NLQ with each column separately, and ( d) schema graph encoding. A schematic overview of the possible encod- ing choices can be seen in Fig. 5. 4.3.1 Separate NLQ and column encodings A ﬁrst approach, used mostly by earlier systems (e.g. Seq2SQL [ 112], SQLNet [ 96]), is to encode the NLQ sepa- rately from the table columns. The main reason for encoding the two inputs separately is the shape mismatch between them; while the NLQ is a simple sentence (i.e. a sequence of words), the table header is a list of column names, where each name can contain multiple words, i.e. it is a sequence of sequences of words. In Seq2SQL [ 112], SQLNet [ 96] and IncSQL [ 79], each word (embedding) of the NLQ is fed into a bi-directional LSTM (bi-LSTM) that produces a hidden state representa- tion for each word. For column headers, since each column name can have multiple words, a bi-LSTM is used for each column name, and the ﬁnal hidden state of each column is used as the initial representation for the column. Notice that by keeping only the last state of each column name, the rep- resentation of the header becomes a simple sequence and not a nested sequence. Since the two inputs are encoded sep- arately, they must be combined at some point so that the output is inﬂuenced by both of them. This can be done by using cross-serial dot-product attention [ 61], concatenating the two representations, summing them or using a combina- tion of the above. None of the studied systems that follow this encoding approach use any extra features besides the NLQ and DB columns. This may be attributed to the fact that these are some of the earliest neural text-to-SQL proposals, which did not perform schema linking and focused on the simpler Wik- iSQL dataset. 4.3.2 Input serialisation A different approach is to serialise all the inputs into a single sequence and encode it all at once. This is a very common practice when using PLMs (e.g. BERT [ 19], T5 [74]) that cre- ate a contextualised representation of their input, because if 123"
Katsogiannis-Meimarakis and Koutrika - 2023 - A survey on deep learning approaches for text-to-S.pdf,12,page,"916 G. Katsogiannis-Meimarakis, G. Koutrika Fig. 5 An overview of the possible encoding choices. Pink tokens represent words of the NLQ, blue tokens represent database elements and grey tokens are auxiliary tokens (color ﬁgure online) each input were to be encoded separately, the system would not beneﬁt from the PLM’s contextualisation ability. This approach simpliﬁes the encoding process and beneﬁts from the robustness of PLMs. However, it also carries disadvan- tages, such as losing schema structure information and being unable to easily represent relationships between the inputs (e.g. primary-foreign key relationships, schema links, etc.). As we go through some different serialisation approaches, we will also examine how much information can be retained in each case. It should also be noted that PLMs usually employ a few special tokens that are added to the serialised sequence. For example, BERT [ 19] uses the classiﬁcation [CLS] and the separating [SEP] special tokens. The [CLS] token is added at the start of the sequence. Its contextualised out- put, which gathers information from all the tokens in the sequence thanks to the underlying attention networks, can be used to make classiﬁcation predictions that concern the entire sequence. The [SEP] special token can be used to sep- arate different sentences in the same sequence. These tokens are also useful for the text-to-SQL problem. The simplest serialisation technique, used by several sys- tems [35,39,63] that work on the WikiSQL dataset, creates a single input sequence that only contains the NLQ and all the table headers. The serialised sequence starts with the [CLS] token, as is common for BERT, then the NLQ tokens are appended, followed by a [SEP] token marking the end of the NLQ and then each column name is added followed by a [SEP] token. This input is processed by BERT, which cre- ates a contextualised representation that has the same length as the input, and that can be processed by the rest of the network to make predictions. Since these systems only work with single tables, there is not a lot of information that needs to be preserved, but it could be argued that this approach sep- arates the column names much less strictly compared to the separate encoding approach. IRNet [33] (when using BERT) creates an input that starts with a [CLS] token, then continues with the NLQ’s tokens followed by a [SEP] token, the name of each column of the database followed by a [SEP] token, and ﬁnally the table names of the schema, each separated with a [SEP] token as well. In order to encode discovered schema links along with the rest of the input, IRNet uses three extra tokens, namely [Column], [Table], [V alue], that can be appended before a NLQ token or phrase, to mark that it was linked to a database candidate. Still, using this serialisation format, there is a lot of schema information not captured. For example, it is not possible to extract any primary-foreign key relationships, or to which table each column belongs. Finally, BRIDGE [ 57] constructs an input for a PLM that starts with a [CLS] token, followed by the NLQ and a [SEP] token, as well as the tables and column of the DB, where a [T] and [C] token is added before each table and column name, respectively, so as to better preserve each attribute’s role. The difference between IRNet’s and BRIDGE’s use of the special [C]/[Column] and [T]/[Table] tokens is that the former uses them in the NLQ part to indicate a schema link to a column or table, while the latter uses them to indicate that the tokens after a [C] or [T] token are a column or table name, respectively. BRIDGE also uses an extra third token [V] along with a value, after a column name, to mark that this value appears under the column at hand and was discovered as a possible value link to some NLQ candidate. In this case, BRIDGE uses the [V] token in the DB schema part of the input while also appending a value after it, while IRNet uses the [V alue] token in the NLQ part, without providing the actual value. Additionally, all the columns belonging to a certain table are added right after the table’s name in the sequence so as to better preserve the schema structure in this serialised representation. Nevertheless, all relationships between attributes (e.g. primary/foreign keys) are still lost when following this representation. 4.3.3 Encoding NLQ with each column separately HydraNet [ 62] employs a unique approach: it processes the NLQ with each column separately and makes predictions for each column independently. For each table column, a different input is constructed by concatenating the NLQ with the column name and type and the table name. Using this input, the system predicts the probability of the column at hand appearing in the SELECT clause, the probability of the 123"
Katsogiannis-Meimarakis and Koutrika - 2023 - A survey on deep learning approaches for text-to-S.pdf,2,caption,"Fig. 5 An overview of the possible encoding choices. Pink tokens represent words of the NLQ, blue tokens represent database elements and grey"
Katsogiannis-Meimarakis and Koutrika - 2023 - A survey on deep learning approaches for text-to-S.pdf,13,page,"A survey on deep learning approaches for text-to-SQL 917 Fig. 6 System categorisation on the taxonomy dimensions of natural language representation, input encoding, output decoding, neural train- ing and output reﬁnement column appearing in the WHERE clause, the operation that will be used if this column appears in the WHERE clause, and so on. It could be argued that this approach does not allow the system to have a complete view of the problem instance, because the neural network makes predictions for each column separately, without being aware of the rest of the table columns. Nevertheless, HydraNet achieves exceptional performance on the WikiSQL benchmark. This approach does not utilise any additional features (e.g. schema links). However, given that it also serialises its inputs (albeit, only keeping a single column each time), it could draw inspiration from the serialisation techniques described in Sect. 4.3.2 to encode information about schema links. For example, it could append values similarly to BRIDGE [ 57], or use [Table] and [Column] tokens to explicitly mark column and table names in the input NLQ. It should be noted, however, that generalising this approach to a complete relational DB would not be an easy task. First of all, a DB usually has multiple tables, each containing mul- tiple columns, which means that the network would have to make predictions for a much larger number of columns, greatly increasing time complexity for predicting a single SQL query. Furthermore, queries posed on complete DBs often contain JOIN clauses and other operations that depend on more than one entity; as such, processing each column sep- arately becomes very counter-intuitive. Finally, this approach is based on a sketch-based decoder (more in Sect. 4.4), which is hard to extend for complete DBs. 4.3.4 Schema graph encoding A graph is the most effective way for representing the DB elements and their relationships. Representing and encoding the input using a graph is used only by a handful of systems [8,9,89]. Each node in the graph represents a database table or a column, while their relationships can be represented by edges that connect the respective nodes. It is also possible to add the NLQ words as nodes in the graph, and add edges that connect the query candidates with their equivalent database candidates for representing all the discovered schema links. Additionally, the used graph representation may allow for different classes of nodes and edges leading to even higher expressivity. There can be different classes of nodes to distin- guish between tables, columns and NLQ words and different classes of edges to distinguish between edges that represent foreign-primary key relations, edges that indicate a column belonging to a table and edges that represent schema links. Even though representing the system input as a graph allows for minimal loss of information and can include many types of additional inputs, processing a graph with a neural network is far more difﬁcult than processing a sequence. This is the main reason why graphs have yet to see widespread use in the text-to-SQL problem. However, recent advances 123"
Katsogiannis-Meimarakis and Koutrika - 2023 - A survey on deep learning approaches for text-to-S.pdf,2,caption,Fig. 6 System categorisation on the taxonomy dimensions of natural
Katsogiannis-Meimarakis and Koutrika - 2023 - A survey on deep learning approaches for text-to-S.pdf,14,page,"918 G. Katsogiannis-Meimarakis, G. Koutrika in graph neural networks and the clever use of Transformers [87] proposed by RA T-SQL [ 89] and [ 78], are showing very promising and might be a good choice for future research. 4.4 Output decoding Text-to-SQL systems following the encoder–decoder archi- tecture can be divided into three categories based on how their decoder generates the output [ 13]: ( a) sequence-based, ( b) grammar-based, and (c) sketch-based slot-ﬁlling approaches. 4.4.1 Sequence-based approaches This category includes systems that generate the predicted SQL, or a large part of it, as a sequence of words (comprising SQL tokens and schema elements) [ 11,57,112]. This decod- ing technique is the simplest, and was adopted by Seq2SQL [112], which is one of the ﬁrst deep-learning text-to-SQL sys- tems. Later systems steered away from sequence decoding because it is prone to errors. The main drawback of sequence decoding is that it treats the SQL query as a sequence that needs to be learnt, and at prediction time, there are no measures to safeguard from producing syntactically incorrect queries. When generating a query, it does not take into account the strict SQL grammat- ical rules, nor does it actively prevent generating incorrect column and table names that do not exist in the DB. Nevertheless, sequence-based approaches are starting to be used again and are proving to be very efﬁcient thanks to two advances: ( a) the introduction of large pre-trained seq- to-seq Transformer [ 87] models (e.g. T5 [ 74], BART [ 52]) and (b) the use of smarter decoding techniques that constrain the predictions of the decoder and prevent it from producing invalid queries (e.g. PICARD [ 76]). 4.4.2 Sketch-based slot-ﬁlling approaches Systems in this category [ 35,39,62,63,96,103] aim at simpli- fying the difﬁcult task of generating a SQL query to the easier task of predicting certain parts of the query, such as predict- ing the table columns that appear in the SELECT clause. In this way, the SQL generation task is transformed into a clas- siﬁcation task. In particular, we consider a query sketch with a number of empty slots that must be ﬁlled in, and develop neural networks that predict the most probable elements for each slot. A basic prerequisite for such approaches is to have a query sketch that, when completed, will be able to capture the NLQ’s intention. While dividing the text-to-SQL problem into small sub- tasks makes it easier to generate syntactically correct queries, sketch-based approaches may have two drawbacks. Firstly, the resulting neural network architecture may end up being quite complex since dedicated networks may be used for each slot or part of the query. Furthermore, it is hard to extend to complex SQL queries, because generating sketches for any type of SQL query is not trivial. 4.4.3 Grammar-based approaches Systems using a grammar-based decoder [ 13,22,33,79,89] are an evolution of sequence-to-sequence approaches, and produce a sequence of grammar rules instead of simple tokens in their output. These grammar rules are instructions that, when applied, can create a structured query. The most often used grammar-based decoders by text- to-SQL systems have been previously proposed for code generation as an Abstract Syntax Tree (AST) [ 99,100]. These models take into account the grammar of the target code lan- guage (in our case, the SQL grammar) and consider the target program to be an AST, whose nodes are expanded at every tree level using the grammar rules, until all branches reach a terminal rule. When it reaches a terminal rule, the model might generate a token, for example, a table name, an operator or a condition value, in the case of text-to-SQL. The decoder uses a LSTM-based architecture that predicts a sequence of actions, where each action is the next rule to apply to the program AST. Because the available predictions are based both on the given grammar and the current state of the AST, the possibility of generating a grammatically incorrect query is greatly reduced. Grammar-based approaches are considered the most advantageous option for generating complex SQL queries, as sequence-based approaches were too prone to errors and sketch-based approaches are difﬁcult to be extended to com- plex queries. While their status is recently being challenged by the advances of sequence-based decoders discussed ear- lier, the quest for the most effective decoding technique is far from over. 4.5 Neural training Another dimension that must be examined when consider- ing a neural text-to-SQL system is the methodology that is followed to train it. Even though the description of a system is usually focused around its architecture and neural layers as well as the way it encodes the inputs and decodes the output, the dimension of neural training is important, because it is the process that enables the neural network to learn how to perform the task at hand. Earlier systems adopted the simple paradigm of training the network exclusively on a text-to-SQL dataset, however, recent systems have proposed more sophisticated approaches that can greatly beneﬁt the network performance and its gen- eralisation capabilities. 123"
Katsogiannis-Meimarakis and Koutrika - 2023 - A survey on deep learning approaches for text-to-S.pdf,15,page,"A survey on deep learning approaches for text-to-SQL 919 Fresh start The most common approach is to train the network from scratch, i.e. initialise all the weights with a ran- dom initialisation algorithm and train them on a downstream task. However, recent developments in the domain of NLP are showing that pre-trained networks and self-supervised learning are able to achieve much better performance. Transfer learning The use of transfer learning is quickly gaining ground in the NLP community, due to the introduc- tion of Transformers [ 87], which greatly reduce training time compared to RNNs. Transfer learning refers to when a model trained on a different, usually more generic task, and a differ- ent dataset, is incorporated to a new model and further trained on a downstream task (e.g. text-to-SQL). Language models, i.e. networks that have been trained to predict missing words or phrases on huge text corpora, are becoming the standard approach for most NLP tasks, given the performance boost they provide in almost all cases. Some systems, such as HydraNet [ 62], rely on language models almost completely, only using linear output layers to produce predictions. Most systems however, incorporate language models as an alternative or an enhancement for word embeddings and RNNs. Additional objectives Another interesting approach that follows the success of language models and self-supervised learning is that of using additional self-supervised tasks while training for the text-to-SQL problem. Recent research [12,38,97] suggests that training neural models for more generic tasks besides the downstream task of text-to-SQL that the model is designed to solve, can improve performance on the downstream task. When using additional objectives, one must decide whether the model should be trained on all the auxiliary objectives along the downstream task or whether it should be ﬁrst trained on the auxiliary tasks and then ﬁne- tuned on the downstream task. – Erosion The erosion task, proposed by [ 97], consists of randomly permuting, removing and adding columns to the input schema and training the model to produce the correct SQL query using the eroded schema. Addition- ally, the system must learn to produce an unknown token when it has to use a column that has been removed from the given schema. – Shufﬂing The shufﬂe task, proposed by [ 97], randomly changes the order of schema entities and condition values in the input SQL query and NLQ, training the model to correctly re-order them. – Graph pruning The graph pruning task, proposed by [ 12], trains the model to prune all the nodes of the input graph representation that are irrelevant to the given NLQ. – Schema dependency learning SDSQL [ 38] proposes an additional task to the text-to-SQL task, that closely resonates to the schema linking problem. SDSQL is designed for the WikiSQL dataset. Schema Dependency Learning consists of predicting which words or phrases of the NLQ have a dependency to which columns of the table and the type of the dependency that connects them. The goal is to learn which parts of the NLQ signify that a speciﬁc column will appear in the SQL query and the role that the column will have in it (e.g. if it appears in the SELECT clause, if it implies the use of the MAX aggregation function, etc.). Pre-training speciﬁc components Another approach is to train speciﬁc parts of our network so that they can better adjust to the peculiarities of the task. For example, GP [ 111] proposes a framework that pre-trains the system decoder, before training the entire system, in order to better train it on the context-free parts of the SQL grammar, e.g. SQL queries always start with SELECT, the FROM clause is second, and so forth. For this purpose, the encoder’s semantic information is replaced by zero vectors so that the decoder is pre-trained without any information about the particular NLQ. 4.6 Output refinement Once trained, a neural model can be used for inference. There is one last dimension to consider; that of output reﬁnement, i.e. additional techniques that can be applied on a trained model to produce even better results, or to avoid producing incorrect SQL queries. None An obvious approach is to use the trained model as is, without output reﬁnement. The most important reason for this approach concerns time and resource availability; in some applications, it might be crucial to achieve low latency responses or to run on everyday machines. For example, PICARD [ 76], increases inference time by 0.6s when running on a machine with very high-end GPU and arguably even more so on a personal computer. It must be noted however that almost all leader-board entries that achieve high results, use some reﬁnement technique. Execution-guided decoding This is a mechanism [ 91] that helps prevent text-to-SQL systems from predicting SQL queries that return execution errors. Even though sketch- based approaches are designed to avoid syntactical errors, the possibility for semantical errors is ever-present. Some exam- ples of such errors include aggregation functions mismatches (e.g. using A VERAGE on a string type column), condition type mismatches (e.g. comparing a ﬂoat type column with a string type value), and so forth. To avoid these type of errors, execution-guided decoding can execute partially complete SQL queries at prediction time and decide to avoid a certain prediction if the execution fails or if it returns an empty out- put. Execution-guided decoding is system-agnostic and can be applied to most sketch-based systems (e.g. HydraNet, IE- SQL), increasing their accuracy in almost all cases. Let us note that even though some systems presented in this work 123"
